title,url,result,pdf_url
Memristive Tabu Learning Neuron Generated Multi-Wing Attractor With FPGA Implementation and Application in Encryption,,doi_or_empty,
Memristive Tabu Learning Neuron Generated Multi-Wing Attractor With FPGA Implementation and Application in Encryption,https://uhra.herts.ac.uk/id/eprint/11323/1/TCAS_I_Tabu_Wing.pdf,direct_pdf,https://uhra.herts.ac.uk/id/eprint/11323/1/TCAS_I_Tabu_Wing.pdf
SYNtzulu: A Tiny RISC-V-Controlled SNN Processor for Real-Time Sensor Data Analysis on Low-Power FPGAs,,doi_or_empty,
SYNtzulu: A Tiny RISC-V-Controlled SNN Processor for Real-Time Sensor Data Analysis on Low-Power FPGAs,https://doi.org/10.1109/tcsi.2024.3450966,doi_or_empty,
"A High-Reliability, Non-CRP-Discard Arbiter PUF Based on Delay Difference Quantization",,doi_or_empty,
"A High-Reliability, Non-CRP-Discard Arbiter PUF Based on Delay Difference Quantization",https://pureadmin.qub.ac.uk/ws/files/626184314/DDQPUF.pdf,direct_pdf,https://pureadmin.qub.ac.uk/ws/files/626184314/DDQPUF.pdf
A Heterogeneous RISC-V Based SoC for Secure Nano-UAV Navigation,,doi_or_empty,
A Heterogeneous RISC-V Based SoC for Secure Nano-UAV Navigation,https://cris.unibo.it/bitstream/11585/959822/3/SHAHEEN_TCAS_I_2023.pdf,direct_pdf,https://cris.unibo.it/bitstream/11585/959822/3/SHAHEEN_TCAS_I_2023.pdf
C4TERO: Configurable Cascaded Carry Chains for High Reliability TERO PUFs on FPGAs,,doi_or_empty,
C4TERO: Configurable Cascaded Carry Chains for High Reliability TERO PUFs on FPGAs,https://doi.org/10.1109/tcsi.2024.3438362,doi_or_empty,
Future Design Direction for SRAM Data Array: Hierarchical Subarray With Active Interconnect,,doi_or_empty,
Future Design Direction for SRAM Data Array: Hierarchical Subarray With Active Interconnect,https://lirias.kuleuven.be/retrieve/913275b5-a108-48a9-b523-7f949cafecb4,direct_pdf,https://lirias.kuleuven.be/retrieve/913275b5-a108-48a9-b523-7f949cafecb4
Modeling and Predicting Noise-Induced Failure Rates in Ultra-Low-Voltage SRAM Bitcells Affected by Process Variations,,doi_or_empty,
Modeling and Predicting Noise-Induced Failure Rates in Ultra-Low-Voltage SRAM Bitcells Affected by Process Variations,http://hdl.handle.net/2078.1/299513,html_discovered_pdf,https://research.dial.uclouvain.be/server/api/core/bitstreams/199313d2-4e0e-474b-8768-b03016c60195/content
"Exploiting Body-Driven Feedbacks in Physical Unclonable Functions for Ultra Low Voltage, Ultra Low Power Applications: A 0.3 V Weak-PUF",,doi_or_empty,
"Exploiting Body-Driven Feedbacks in Physical Unclonable Functions for Ultra Low Voltage, Ultra Low Power Applications: A 0.3 V Weak-PUF",https://doi.org/10.1109/tcsi.2024.3396916,doi_or_empty,
A Low-Latency Power Series Approximate Computing and Architecture for Co-Calculation of Division and Square Root,,doi_or_empty,
A Low-Latency Power Series Approximate Computing and Architecture for Co-Calculation of Division and Square Root,http://hdl.handle.net/10017/62156,html_discovered_pdf,https://ebuah.uah.es/dspace/bitstream/handle/10017/62156/Low_Tian_IEEETransCirSysI_2024%20(1).pdf?sequence=4
High-Speed Polynomials Multiplication HW Accelerator for CRYSTALS-Kyber,,doi_or_empty,
High-Speed Polynomials Multiplication HW Accelerator for CRYSTALS-Kyber,https://eprints.whiterose.ac.uk/id/eprint/214995/7/High-Speed%20Polynomial%20Multiplication%20HW%20accelerator%20for%20CRYSTALS-Kyber%20AAM.pdf,direct_pdf,https://eprints.whiterose.ac.uk/id/eprint/214995/7/High-Speed%20Polynomial%20Multiplication%20HW%20accelerator%20for%20CRYSTALS-Kyber%20AAM.pdf
ESSR: An 8K@30FPS Super-Resolution Accelerator With Edge Selective Network,,doi_or_empty,
ESSR: An 8K@30FPS Super-Resolution Accelerator With Edge Selective Network,https://arxiv.org/pdf/2503.20245,direct_pdf,https://arxiv.org/pdf/2503.20245
Hybrid Spatial and Temporal Computing Histogrammer in Soft Processor Core of a FPGA Device,,doi_or_empty,
Hybrid Spatial and Temporal Computing Histogrammer in Soft Processor Core of a FPGA Device,https://re.public.polimi.it/bitstream/11311/1267062/1/Hybrid_Spatial_and_Temporal_Computing_Histogramer_in_Soft_Processor_Core_of_a_FPGA_Device.pdf,direct_pdf,https://re.public.polimi.it/bitstream/11311/1267062/1/Hybrid_Spatial_and_Temporal_Computing_Histogramer_in_Soft_Processor_Core_of_a_FPGA_Device.pdf
"FREYA: A 0.023-mm²/Channel, 20.8- μW/Channel, Event-Driven 8-Channel SoC for Spiking End-to-End Sensing of Time-Sparse Biosignals",,doi_or_empty,
"FREYA: A 0.023-mm²/Channel, 20.8- μW/Channel, Event-Driven 8-Channel SoC for Spiking End-to-End Sensing of Time-Sparse Biosignals",https://lirias.kuleuven.be/retrieve/79271a63-05dd-497e-842c-4dac4d71a658,direct_pdf,https://lirias.kuleuven.be/retrieve/79271a63-05dd-497e-842c-4dac4d71a658
